Column1,target,ids,date,flag,user,text,Label
0,0,2190584004,Tue Jun 16 03:08:48 PDT 2009,NO_QUERY,Vicki_Gee,i miss nikki nu nu already  shes always there when needed thank u xxx,Statement
1,0,1881451988,Fri May 22 04:42:15 PDT 2009,NO_QUERY,PatCashin,So I had a dream last night. I  remember a sign which clearly told me where to get a job.  I can't rememer what the sign said.,Statement
2,0,2058252964,Sat Jun 06 14:34:17 PDT 2009,NO_QUERY,deelectable,@girlyghost ohh poor sickly you   (((hugs)) hope you feel a little better soon,Emotion
3,0,2237307600,Fri Jun 19 05:34:22 PDT 2009,NO_QUERY,justinekepa,it is raining again,Statement
4,0,2224301193,Thu Jun 18 09:20:06 PDT 2009,NO_QUERY,cmatt007,@MissKeriBaby wish I was in LA right now,Statement
5,0,1692257495,Sun May 03 19:36:35 PDT 2009,NO_QUERY,Dogbook,Nala Olowalu still has a full tummy from bread basket #2  http://apps.facebook.com/dogbook/profile/view/6285546,Statement
6,4,1557782222,Sun Apr 19 05:58:52 PDT 2009,NO_QUERY,MyAppleStuff,"@macintom site doesn't seem to want to load up, they must be getting a lot of hits",Statement
7,0,1984628467,Sun May 31 15:29:11 PDT 2009,NO_QUERY,AlexCarrier,time for some sleep- hav to actually do some work tmrw!!,Statement
8,0,2240793149,Fri Jun 19 10:10:09 PDT 2009,NO_QUERY,simonhowes,@supercoolkp In Oxford that month.,Statement
9,4,1834037031,Mon May 18 01:23:05 PDT 2009,NO_QUERY,Sofuce,"..time for a cup of tea and fruit bagels, i'm going to turn the day around!",Statement
10,4,2001270247,Tue Jun 02 00:20:53 PDT 2009,NO_QUERY,mouaboy6,Just finished playing asshole. first time 2nd place. Second time 1st place. Heh.,Statement
11,0,2000954033,Mon Jun 01 23:25:14 PDT 2009,NO_QUERY,anteaisaplus,Finally got me some greens. 2 bad the dog kept tryna get all up in my mix. I guess she wanted some greens 2. Now I'm snifflin and sneezin,Statement
13,0,1955986622,Thu May 28 20:58:41 PDT 2009,NO_QUERY,amygibbons,poor kitty didn't make it last night...lost 2 more and nursing another tonight.,Statement
14,4,1993730510,Mon Jun 01 10:50:31 PDT 2009,NO_QUERY,tswaterman,@MrPope OK - that was cooler than than the search engine launch,Yes-Answer
15,0,2052008741,Fri Jun 05 23:23:46 PDT 2009,NO_QUERY,jeessss,@AlexAllTimeLow so upset i couldnt go,Statement
16,0,2222895221,Thu Jun 18 07:35:01 PDT 2009,NO_QUERY,THabsburg,@Dev92 and we shouldn't have constant rain,Clarify
17,4,1989872646,Mon Jun 01 03:06:19 PDT 2009,NO_QUERY,Joyfullyblessed,"Good Morning Folks!  Last week of school...woohoo! Joy, Joy, Joy...down in my heart!  Have a spectacular day! Love to all..extra to Ram!",Greet
18,0,2006863698,Tue Jun 02 11:47:47 PDT 2009,NO_QUERY,ishkabibbles,"Even on my happiest of days, seeing others sad makes me sad",Statement
19,0,2018144696,Wed Jun 03 09:30:27 PDT 2009,NO_QUERY,NayaGia,I should be celebrating but you're not here  @Xhumonne sorry I asn't able to call. Was on the fon with Koo.T @chuchu82 I miss you poo,Statement
20,0,2067309923,Sun Jun 07 12:07:11 PDT 2009,NO_QUERY,Gilgamesh247,@TroublePandaPR I used tu have a 360 at least 4 times but kept getting the RROD  so I shifted tu tha #ps3,Statement
21,0,2245875020,Fri Jun 19 16:45:58 PDT 2009,NO_QUERY,steveo_187,hmmm wonder if my plans will actually happen today? laying in bed,Yes-No-Question
22,4,1956568507,Thu May 28 22:09:56 PDT 2009,NO_QUERY,Tyrone17,@ddlovatofans101 oh k good luck with that  lol,Emotion
23,4,1956643574,Thu May 28 22:20:25 PDT 2009,NO_QUERY,QuantumEpiphany,@she_shines92 fangirl squee!,Emotion
24,0,1993657392,Mon Jun 01 10:43:41 PDT 2009,NO_QUERY,imberrycute,ok aoifes goin mad she hates twitter she thinks its sad  sad thing for peop's hu have no lives thats worse then gaa someone callin it gaaa,Statement
25,0,1555785015,Sat Apr 18 20:41:08 PDT 2009,NO_QUERY,mrexroad,Ugh... Feeling like death warmed up. All of us are sick  no bueno.,Statement
26,4,2056789329,Sat Jun 06 11:47:49 PDT 2009,NO_QUERY,whotook,http://twitpic.com/6rg4l All in for repair,Statement
27,0,1822830065,Sat May 16 20:29:11 PDT 2009,NO_QUERY,smelso,@cristayyy I wanna see it too! I misss youuuu boooo,Statement
28,0,1974321468,Sat May 30 12:53:30 PDT 2009,NO_QUERY,wallabyanneboo,eating chocolate. bout to watch dr who again? missing jacob already,Yes-No-Question
29,0,2224477520,Thu Jun 18 09:33:02 PDT 2009,NO_QUERY,Donnamarie21,Hey @younglo I been showin u luv n nothin back from ya.. NO show donna no luv no more..    (Young LO TV live &gt; http://ustre.am/28UT),Statement
30,4,1467843689,Mon Apr 06 22:28:25 PDT 2009,NO_QUERY,ashleyxtellez,@PushPlayNICK &quot;Grandpa wants an ice chest and some beef.&quot;  George Lopez rulesss!,Statement
31,0,2206398946,Wed Jun 17 06:29:00 PDT 2009,NO_QUERY,Tayloner182,"Finished homework 5 minutes after they made the final boarding call, sprinted on to plane at last minute, didn't even get to eat McD's",Statement
32,4,2060767385,Sat Jun 06 19:32:23 PDT 2009,NO_QUERY,ANGELEYESBABYFA,gettin ready to cupcake....jus ditched my cuzins fo him...sooooo he betta make it wurth it....,Statement
33,4,2046242848,Fri Jun 05 11:53:57 PDT 2009,NO_QUERY,DeeJayz,http://ping.fm/p/Z022E - Here is heaven on earth and a new one it seems,Statement
34,4,1956243450,Thu May 28 21:28:17 PDT 2009,NO_QUERY,amissible,"I do not now nor ever will, trust the structural integrity of roller coasters, hence i will not ride them.",Statement
35,0,2285498195,Mon Jun 22 15:12:23 PDT 2009,NO_QUERY,renaebair,At ER with seren who has been vomiting for four days now and can't keep any liquids down,Statement
36,4,1834219742,Mon May 18 02:05:24 PDT 2009,NO_QUERY,khushi4all,@phoenixritu  thn u hv another option... come yo my home...,Yes-No-Question
37,4,1973296065,Sat May 30 10:52:26 PDT 2009,NO_QUERY,stellar_samar,@KimKardashian getting ready for MTV movie awards! see u there?,Yes-No-Question
38,4,1676783094,Fri May 01 23:10:51 PDT 2009,NO_QUERY,LauraOrchard,jason mccartney is an absolute legend and such a role model,Statement
39,0,2236283505,Fri Jun 19 03:18:36 PDT 2009,NO_QUERY,AppleCryptMods,"Feel like cr*p today, barking like a dog and now the hayfever is starting...groan ...",Statement
40,0,2262708248,Sat Jun 20 23:03:56 PDT 2009,NO_QUERY,elionnn,@annzoo: And you said I was the weird one who couldn't read!!!,Statement
41,0,1558644658,Sun Apr 19 08:59:43 PDT 2009,NO_QUERY,Boxmanshomeboy,@drummrboy I can't,Reject
42,0,2239401573,Fri Jun 19 08:29:58 PDT 2009,NO_QUERY,thisisburns,Think someone has sharted themselves on this train!,Statement
43,0,2234687727,Thu Jun 18 23:32:38 PDT 2009,NO_QUERY,OfficialAS,"my fingers are like PRUNES. waaaaa  i hate that feel, when they feel powdery and weird. ughh.",Statement
44,4,1976673972,Sat May 30 18:44:25 PDT 2009,NO_QUERY,bryandeleon,Movies. Gonna see up.,Statement
45,0,1981090808,Sun May 31 08:23:43 PDT 2009,NO_QUERY,aDamBacon,I am going to fail my Maths A level tomorrow,Statement
46,0,2067351274,Sun Jun 07 12:11:30 PDT 2009,NO_QUERY,greasyfungus,"@Nikkers But I want her  I need to invent a love potion, dip Cupid's arrow in it, then shove it deep in her right buttock.",Statement
47,0,2302537564,Tue Jun 23 16:57:01 PDT 2009,NO_QUERY,inkedmom6,@Hawleydawley so sorry,Emphasis
48,4,1823289084,Sat May 16 21:34:55 PDT 2009,NO_QUERY,aayjay,"@krystynzilla honestly, you're amazing.  thank you",Statement
49,0,1823376086,Sat May 16 21:48:28 PDT 2009,NO_QUERY,TheeVegan,@richardwatkinsj She Just Gets Our Names Mixed Up....I Just Think It's Normal For Her. Well I HOPE,Statement
50,0,1470149399,Tue Apr 07 08:29:44 PDT 2009,NO_QUERY,coachnicol,"Yeah so physio was crap, still about a month away from any form of real physical activity. Couldnt even sit and straignthen my leg",Statement
51,4,1558479561,Sun Apr 19 08:30:10 PDT 2009,NO_QUERY,strawberrybomb,"Nice sunny day today, taking the sun chairs out of storage and gonna sit in the back garden with my stereo, a good book and glass of wine",Statement
52,4,2177720679,Mon Jun 15 06:35:27 PDT 2009,NO_QUERY,TwiLiqht_Loveer,going to bed,Statement
53,0,1794190467,Thu May 14 05:12:01 PDT 2009,NO_QUERY,anggeh,@sharmaine123 awww... we have same PROMBLEM my dear..  i hate it..,Statement
54,0,1880624257,Fri May 22 01:54:39 PDT 2009,NO_QUERY,kristianramirez,Sorry tweeple  I'm still feeling pretty miserable so my tweeting isn't up to par,Statement
